"","GVIF","Df","GVIF^(1/(2*Df))"
"AGE",1.17118112513104,1,1.08221122020197
"RACE",115.89754327361,1,10.7655721294137
"DPROS",1.56745425245589,3,1.07778585378091
"DCAPS",10.2631186402228,1,3.20361025098604
"logPSA",1.26096616128612,1,1.12292749600592
"VOL",1.06117602526514,1,1.03013398413271
"GLEASON",1.19211709650856,1,1.09184114985128
"AGE:RACE",115.148280717658,1,10.730716691706
"DPROS:DCAPS",14.320011441948,3,1.55832209158725
