"","GVIF","Df","GVIF^(1/(2*Df))"
"AGE",1.05335321432029,1,1.02632997341025
"RACE",1.09141182994055,1,1.04470657600139
"DPROS",1.10721864838729,3,1.01712008871643
"DCAPS",1.07149162257545,1,1.03512879516293
"logPSA",1.22878698141626,1,1.10850664473257
"VOL",1.0478410165896,1,1.02364105847196
"GLEASON",1.1596482893208,1,1.07686967146484
